ID	Gold	Pred	Text
ID-59 	negative	negative	"""Disregarding the steps that lead up to the podium platform, the small-framed but athletic CHRIS MCCANDLESS leaps jubilantly onto the stage in a single bound, frightening Billie, a little wince from Walt, and Carine """"That's our Chris."""""""
ID-60 	negative	neutral	And just as quickly as Chris has been handed his diploma, he civilly descends the platform steps.
ID-61 	negative	negative	TIME CUT:  SLO-MO: A ballet of graduation caps float upward into a frame of blue sky.
ID-62 	negative	negative	We HEAR Chris' voice OVER this image as we intermittently cut away from the caps against the sky to focus on his parents.
ID-63 	negative	positive	(HIGH ANGLE: floating caps in FOREGROUND, Walt and Billie delight upon the caps.)
ID-64 	negative	positive	An outer glee in sharp contrast to voice over:  CHRIS (V.O.)
ID-65 	negative	positive	I see them standing at the formal gates of their colleges, I see my father strolling out under the ochre sandstone arch, the red tiles glinting like bent plates of blood behind his head, I see my mother with a few light books at her hip standing at the pillar made of tiny bricks with the wrought-iron gate still open behind her, its sword-tips black in the May air, they are about to graduate, they are about to get married, they are kids, they are dumb, all they know is they are innocent, they would never hurt anybody.
ID-66 	negative	negative	I want to go up to them and say Stop, don't do it--she's the wrong woman, he's the wrong man, you are going to do things you cannot imagine you would ever do, you are going to do bad things to children, you are going to suffer in ways you never heard of, you are going to want to die.
ID-67 	negative	positive	I want to go up to them there in the late May sunlight and say it, her hungry pretty blank face turning to me, (MORE)  5.
ID-68 	negative	neutral	CHRIS (V.O.)
ID-69 	negative	negative	(CONT'D) her pitiful beautiful untouched body, his arrogant handsome blind face turning to me, his pitiful beautiful untouched body, but I don't do it.
ID-70 	negative	positive	I want to live.
ID-71 	negative	positive	I take them up like the male and female paper dolls and bang them together at the hips like chips of flint as if to strike sparks from them, I say...
ID-72 	negative	negative	The last graduation cap falls out of the `blue sky' frame, and into...  CUT TO:   3   INT.
ID-73 	negative	neutral	ATLANTA RESTAURANT - LATER                                3 (Graduation ceremony wardrobe)  Walt and Billie sit at a table.
ID-74 	negative	positive	A Cadillac can be seen through the window (ATLANTA LANDMARK), parked beside the restaurant.
ID-75 	negative	neutral	BILLIE Here they are.
ID-76 	negative	neutral	Walt looks out the window and sees Chris drive up in his old yellow Datsun with Carine in the passenger seat beside him, and pulls up to the space beside the Cadillac.
ID-77 	negative	neutral	4   INT.
ID-78 	negative	neutral	DATSUN                                                    4  Chris is holding a book from which he reads aloud the LAST LINE OF THE POEM... CHRIS I say...Do what you are going to do, and I will tell about it.
ID-79 	negative	neutral	CARINE Who wrote that?
ID-80 	negative	positive	CHRIS Well, it could've been either one of us, couldn't it?
ID-81 	negative	neutral	He hands a book of Sharon Olds' poetry to her.
ID-82 	negative	positive	CHRIS (CONT'D) There's a lot of great poems in there.
ID-83 	negative	neutral	6.
ID-84 	negative	positive	CARINE Thanks, big brother.
ID-85 	negative	neutral	They exit the car and frame.
ID-86 	negative	neutral	5   INT.
ID-87 	negative	positive	ATLANTA RESTAURANT - SAME                                5  Chris and Carine join Walt and Billie at the table.
ID-88 	negative	positive	Billie gets up and gives Chris a big hug.
ID-89 	negative	negative	BILLIE You scared the daylights out of me, jumping on to that stage, oh my god.
ID-90 	negative	neutral	Chris gives Carine a look.
ID-91 	negative	positive	Walt extends his hand to Chris.
ID-92 	negative	positive	WALT Congratulations, son.
ID-93 	negative	neutral	They all sit and pick up menus.
ID-94 	negative	negative	CHRIS I'm starving.
ID-95 	negative	negative	TIME CUT:   6   INT.
ID-96 	negative	neutral	ATLANTA RESTAURANT - LATER                               6  The foods on the table.
ID-97 	negative	neutral	Chris is devouring a steak.
ID-98 	negative	positive	CHRIS My grades are gonna be good enough, I think, to get into Harvard Law.
ID-99 	negative	neutral	WALT That's a big deal.
ID-100 	negative	neutral	What do you have left in your college fund?
ID-101 	negative	neutral	CHRIS It's an inheritance, dad.
ID-102 	negative	neutral	I've only been spending it as a college fund...Exactly twenty-four thousand five hundred dollars and sixty-eight cents.
ID-103 	negative	neutral	BILLIE That's very specific.
ID-104 	negative	neutral	CHRIS I had to go to the bank this morning.
ID-105 	negative	neutral	7.
ID-106 	negative	positive	WALT Well, we'll certainly contribute the balance for Harvard.
ID-107 	negative	positive	CHRIS Yeah.
ID-108 	negative	neutral	I've got to figure out what I'm going to do.
ID-109 	negative	neutral	I got a lot of things to pack and organize here first.
ID-110 	negative	positive	BILLIE I'm so glad you're getting out of that place you're living.
ID-111 	negative	positive	It was so much nicer when you lived on campus.
ID-112 	negative	negative	WALT You'll come to Annandale before you disappear on us, won't you?
ID-113 	negative	positive	CHRIS (reluctantly) Sure, I will.
ID-114 	negative	negative	Carine's not so sure.
ID-115 	negative	positive	BILLIE You promise?
ID-116 	negative	negative	CHRIS (whining) Mom.
ID-117 	negative	positive	BILLIE Well, your father and I want to make a present to you.
ID-118 	negative	positive	WALT We want to get you out of that junker.
ID-119 	negative	neutral	CHRIS What's a junker?
ID-120 	negative	neutral	Walt points outside to the Datsun.
ID-121 	negative	neutral	CHRIS (CONT'D) The Datsun?
ID-122 	negative	positive	WALT Yes.
ID-123 	negative	positive	We want to get you a new car.
ID-124 	negative	negative	CHRIS (appalled) A new car?
ID-125 	negative	negative	Why the hell would I want a new car?
ID-126 	negative	positive	The Datsun runs great.
ID-127 	negative	neutral	(MORE)  8.
ID-128 	negative	negative	CHRIS (CONT'D) (Mocking the Cadillac) Do you think I want some fancy boat?
ID-129 	negative	negative	Or are you worried about what the neighbors might think?
ID-130 	negative	neutral	BILLIE We weren't going to get you a Cadillac, Chris.
ID-131 	negative	positive	Just a nice new car that's safe to drive.
ID-132 	negative	neutral	You don't know when that thing's just going to suddenly blow up.
ID-133 	negative	neutral	CHRIS Blow up?
ID-134 	negative	neutral	Blow up?!
ID-135 	negative	negative	Are you guys crazy?
ID-136 	negative	positive	It's a great car.
ID-137 	negative	neutral	I don't need a new car.
ID-138 	negative	negative	I don't want a new car.
ID-139 	negative	negative	I don't want anything.
ID-140 	negative	neutral	Thing, thing, thing.
ID-141 	negative	neutral	Under the table, Carine jabs Chris' leg.
ID-142 	negative	positive	Chris returning to polite -  CHRIS (CONT'D) But, thanks anyway.
ID-143 	negative	negative	WALT Everything's gotta be difficult.
ID-144 	negative	positive	CHRIS I said thank you.
ID-145 	negative	negative	I just don't want anything.
ID-146 	negative	positive	The group returns to some superficial calm.
ID-147 	negative	positive	CARINE I wouldn't say no to a new car.
ID-148 	negative	neutral	CHRIS (mumbling a rib) Ivana Trump McCandless.
ID-149 	negative	positive	CARINE (laughing it off) Shut up, Chris.
ID-150 	negative	negative	(to her parents, seriously) Seriously, I'll pay you back.
ID-151 	negative	negative	CUT TO:   7   INT.
ID-152 	negative	neutral	OFF-CAMPUS ROOMING HOUSE, SECOND-FLOOR, ATLANTA -         7 DAY  OVER Chris' shoulder, he frisbees his graduation cap from the upstairs window to his parents parting Cadillac on the street.
ID-153 	negative	neutral	9.
ID-154 	negative	neutral	As they wave goodbye, Carine catches the cap from the backseat window.
ID-155 	negative	positive	And with a parting smile to her brother, she poses with it on her own head.
ID-156 	negative	positive	Chris smiles and waves goodbye.
ID-157 	negative	negative	As the Cadillac drifts away, his smile disappears into something other than sadness.
ID-158 	negative	negative	TIME CUT:   8   INT.
ID-159 	negative	negative	"""OFF-CAMPUS ROOMING HOUSE - NIGHT                         8  In a warm ambient light, we SEE a black and white poster on a barren wall: Poncho-clad Clint Eastwood from """"The Good, The Bad, And The Ugly."""""""
ID-160 	negative	neutral	We TILT DOWN a stack of books sitting on the floor - Tolstoy, Stegner, Thoreau, Jack London, and Pasternak.
ID-161 	negative	neutral	Beside them, a camper's backpack.
ID-162	neutral	neutral	Chris sits in introspection at his desk by candlelight.
ID-163	neutral	positive	The room is spare, supporting his monkish lifestyle.
ID-164	neutral	neutral	But on the desk before him, he counts out $500.68 from a bank envelope.
ID-165	neutral	neutral	He pockets those bills and change, then removes a check for $24,000 made out to OXFAM America from the same bank envelope.
ID-166	neutral	neutral	He scribbles a note: These are all my savings.
ID-167	neutral	neutral	Feed someone with it.
ID-168	neutral	neutral	Signed, Chris McCandless.
ID-169	neutral	positive	He then slides the note and the check into a pre-addressed Oxford Famine Relief Fund (in Boston) envelope.
ID-170	neutral	neutral	He pulls his wallet from his back pocket.
ID-171	neutral	neutral	Pulls all the cards and pictures from its sleeves.
ID-172	neutral	neutral	Considering each, he flicks them into a trash bin, one by one.
ID-173	neutral	positive	Finally coming to his social security card, he holds it to the candles flame.
ID-174	neutral	positive	As the flame burns bright we - DISSOLVE TO:   9   EXT.
ID-175	neutral	negative	ATLANTA HIGHWAY - SUNRISE'                               9  MUSIC (Gordon Peterson's BIG HARD SUN or as radio source Tom Petty's FREE FALLING) rises and PRESENTATION TITLES OVER:  A 1982 DATSUN B210 emerges from the rising sun as the car heads west out of Atlanta.
ID-176	neutral	neutral	(HIGHWAY 20 TO 78 TO 40)  PRESENTATION TITLES and MUSIC carry OVER:  9A.
ID-177	neutral	neutral	MONTAGE: We travel with Chris and his Datsun through the towns and open highways, landscapes and landmarks, days and nights, that lead to the Mojave desert in the West.
ID-178	neutral	neutral	10.
ID-179	neutral	positive	(In contrast to his introspection of the previous night, Chris is buoyant throughout this sequence.)
ID-180	neutral	neutral	10   EXT.
ID-181	neutral	negative	DESERT, SOMEWHERE BETWEEN KINGMAN, ARIZONA AND LAS     10 VEGAS, NEVADA - SUNSET  (CRANE SHOT) We see Chris stop the Datsun in the middle of the desert road.
ID-182	neutral	neutral	We (CRANE?)
ID-183	neutral	neutral	DOWN to a close-up through the windshield.
ID-184	neutral	neutral	Chris looks left.
ID-185	neutral	neutral	Then, right.
ID-186	neutral	neutral	Into the rearview mirror, and suddenly turns the wheel, veering the Datsun off the paved highway into the vast desert.
ID-187	neutral	neutral	As we CRANE back UP, the Datsun moves into the horizon.
ID-188	neutral	neutral	END PRESENTATION TITLES.
ID-189	neutral	neutral	FADE MUSIC   11   EXT.
ID-190	neutral	negative	DETRITAL WASH - TWILIGHT                               11  ANGLE: WEST-FACING  The Datsun sits in the magical pastel twilight just before darkness slides over the desert.
ID-191	neutral	neutral	It is positioned at the foot of a wash wall that edges the soup bowl.
ID-192	neutral	neutral	ANGLE: EAST-FACING  The Datsun, a yellow speck in the frame.
ID-193	neutral	neutral	Coyotes yap at the moon.
ID-375 	negative	neutral	19.
ID-376 	negative	neutral	CARINE (V.O.)
ID-377 	negative	neutral	"""When they arrived at the apartment, there was a """"For Rent"""" sign in his window, and the manager told my parents that Chris had moved out at the end of June."""
ID-378 	negative	neutral	24   EXT.
ID-379 	negative	neutral	OFF-CAMPUS ROOMING HOUSE, ATLANTA - DAY                24  We observe Walt and Billie chatting with Chris' apartment manager.
ID-380 	negative	neutral	CARINE (V.O.)
ID-381 	negative	positive	When they got home, I had to hand them all the letters they had sent Chris that summer which had been returned in a bundle.
ID-382 	negative	neutral	25   INT.
ID-383 	negative	neutral	"""MCCANDLESS HOME, ANNANDALE                             25  The bundle of letters are splayed out on the kitchen table - """"Return to Sender"""" stamps visible."""
ID-194	neutral	negative	Other than that, no sound on the desert floor.
ID-195	neutral	neutral	In the distance, voluptuous cumulonimbus clouds boil upward catching the last rosy glow of the west-setting sun over the rim of the upper Detrital watershed.
ID-196	neutral	neutral	We see strobe bursts of lightning followed by muffled thunder illuminating the thunder clouds from within.
ID-197	neutral	neutral	Short SERIES OF ANGLES as we MOVE IN on the distant gullies and ravines, starting to run with copious amounts of water.
ID-198	neutral	neutral	12   INT.
ID-199	neutral	neutral	DATSUN - NIGHT                                         12  Chris McCandless, in the same clothes he had been in back in the rooming house, sleeps in the back seat of the Datsun.
ID-200	neutral	positive	His head supported by his backpack.
ID-201	neutral	neutral	We begin to HEAR a rumble.
ID-202	neutral	neutral	But this rumble is not thunder.
ID-203	neutral	negative	It rapidly builds into an alarming ROAR.
ID-204	neutral	negative	The roar grows to a deafening level.
ID-205	neutral	neutral	Chris awakens.
ID-206	neutral	neutral	11.
ID-207	neutral	neutral	As he peeks up from the backseat looking forward through the windshield, he just barely catches sight of the leading edge of a flash flood.
ID-208	neutral	neutral	A four-foot high wall of water, mud and debris makes impact with the Datsun, momentarily enveloping it in water.
ID-209	neutral	neutral	Suddenly the car is SLAMMED against the cliff.
ID-210	neutral	neutral	CRACK!
ID-211	neutral	negative	Chris sits upright, disoriented.
ID-212	neutral	neutral	POV: As far as the eye can see in the desert moonlight, water has taken over the desert with a flash flood.
ID-213	neutral	negative	However, there's no panic in Chris' face as we observe him past a new crack in the wet windshield.
ID-214	neutral	negative	The water, while violent seems to have topped off just above the wheels.
ID-215	neutral	positive	Chris gets a slight smile on his face, as the car settles into its new position below the cliff.
ID-216	neutral	neutral	He returns to sleep.
ID-217	neutral	negative	CUT TO:   13   EXT.
ID-218	neutral	neutral	DESERT - DAY                                          13  What remains of Chris' travelling money burns in a pile beside the Datsun on the sun-lit but muddy desert floor.
ID-219	neutral	positive	We follow a very long set of footprints (CAMERA TRACKING/TRUE VERTICAL) away from the burning cash through the mud, finally tilting up to the footprint maker, Chris.
ID-220	neutral	neutral	Slogging toward high ground.
ID-221	neutral	negative	WIDE-SHOT: We see the abandoned Datsun nearly a mile behind Chris as he walks toward us wearing his backpack.
ID-222	neutral	neutral	He comes very close to camera (only a day or two's stubble on his face) and as we PAN him 180, we see as much wilderness before us as we did behind.
ID-223	neutral	neutral	REPRISE MUSIC OVER MAIN TITLE:  (INTO THE WILD) Chris walks into the distance.
ID-224	neutral	neutral	COMPLETE AND END MAIN TITLES.
ID-225	neutral	negative	CUT TO:   14   INT.
ID-226	neutral	positive	COLLEGE BUILDING                                      14  SHAKY HAND-HELD HOME VIDEO IMAGE (4 YEARS EARLIER):  12.
ID-227	neutral	neutral	Chris McCandless speaking to camera holds a microphone in a shadowy room, doing his Geraldo Rivera.
ID-228	neutral	positive	It's tongue-in- cheek at best.
ID-229	neutral	neutral	CHRIS This is Emory University freshman Chris McCandless reporting from the vault at Thompson Hall.
ID-230	neutral	positive	He indicates a hatchway in the floor leading to a brightly lit corridor below.
ID-231	neutral	negative	CHRIS (CONT'D) We have just dynamited the hatchway and are the first human beings to step foot into this vault in over a hundred years.
ID-232	neutral	positive	Somewhere in here lies the secret of the great beast within us all.
ID-233	neutral	negative	A beast built on lies, corruption, and greed.
ID-234	neutral	neutral	We HEAR a GROWLING SOUND from behind Chris.
ID-235	neutral	neutral	CHRIS (CONT'D) And there it is!
ID-236	neutral	neutral	The legendary beast Mocra.
ID-237	neutral	neutral	CAMERA quickly PANS to a blanket-wrapped, crawling FELLOW STUDENT in a grotesque Halloween mask.
ID-384	neutral	neutral	CARINE (V.O.)
ID-385	neutral	neutral	Chris had instructed the post office to hold them until August 1st so that mom and dad wouldn't know that anything was up.
ID-386	neutral	neutral	Some part of me understood what he had done.
ID-387	neutral	neutral	That he had spent the previous four years fulfilling an absurd and onerous duty in graduating from college.
ID-388	neutral	neutral	We return to the image of Carine sitting on her bed as she plops on Chris' old graduation cap.
ID-389	neutral	neutral	We slowly ZOOM IN on her throughout the remaining V.O.
ID-390	neutral	neutral	CARINE (V.O.)
ID-391	neutral	neutral	(CONT'D) And now, at last he was unincumbered.
ID-392	neutral	neutral	Emancipated from the stifling world of parents and peers.
ID-393	neutral	positive	Abstraction, security, and material excess.
ID-394	neutral	positive	Those things that cut Chris off from the raw truth of his existence.
ID-395	neutral	positive	I only hoped he was safe...and I missed him.
ID-396	neutral	negative	CUT TO:   26   EXT.
ID-397	neutral	neutral	SIERRA NEVADA MOUNTAINS (LAKE TAHOE AREA) - DAY        26  20.
ID-398	neutral	neutral	HELICOPTER SHOT: (MUSIC OVER: PHILIP GLASS) WE FIND CHRIS MAKING HIS STRIDES THROUGH PINES AND PEAKS, IN AWE OF THE SCALE AND POWER OF THIS LANDSCAPE.
ID-399	neutral	neutral	TRACKING SHOT (GROUND LEVEL): CLOSE ON Chris, surrounded by a summit grove embraced in its nature.
ID-400	neutral	neutral	ANGLE: A DEER drinking from a creek, pops its head up between trees and scrub, watching the alien human pass.
ID-401	neutral	neutral	An EAGLE soars above (perhaps it was this POV represented in our helicopter shot)  WATER babbling in a mountain creek.
ID-402	neutral	neutral	VARIOUS WILDLIFE SHOTS  ANGLE: Chris -   In his eyes we see the landscape inject itself.
ID-403	neutral	negative	CUT TO:   27   EXT.
ID-404	neutral	neutral	CAMPSITE, PACIFIC CREST TRAIL - SUNSET                 27  SEQUENCE: Chris makes camp beside a stream pulling a sack of rice from his backpack and cooking it.
ID-405	neutral	neutral	28   EXT.
ID-406	neutral	negative	"""CAMPSITE, PACIFIC CREST TRAIL - NIGHT                  28  Wrapped in his own """"The Good, The Bad, And The Ugly"""" poncho, Chris eats rice while crouched beside a campfire reading from Jack London's White Fang."""
ID-407	neutral	negative	CUT TO:  29   EXT.
ID-408	neutral	positive	PACIFIC CREST TRAIL - FURTHER NORTH - DAY              29  Chris is on the move north through the gorgeous landscape of the Sierras, humming as he walks, when he comes upon a sign on the trail: PERMIT CAMPING IN DESIGNATED CAMPGROUNDS ONLY.
ID-409	neutral	neutral	Chris bows to the sign as one would to speak to a small child.
ID-410	neutral	neutral	CHRIS (singing) Sign, sign.
ID-411	neutral	neutral	Everywhere a sign.
ID-412	neutral	neutral	Fuckin' up the scenery, breakin' my mind.
ID-413	neutral	neutral	(MORE)  21.
ID-414	neutral	neutral	CHRIS (CONT'D) Do this.
ID-415	neutral	neutral	Don't do that.
ID-416	neutral	neutral	Can't you read the sign?
ID-417	neutral	negative	And then, very impulsively, he karate kicks the sign off its post into a log collapsing into ---  CUT TO:   30   OMITTED                                                     30   31   EXT.
ID-418	neutral	negative	CAMPSITE II, PACIFIC CREST TRAIL - NIGHT               31  A burning log collapses in Chris' campfire, reduced to glowing embers.
ID-419	neutral	neutral	32   INT.
ID-420	neutral	neutral	TENT                                                   32  Chris is awakened by the SOUND of TWIGS SNAPPING in a nearby thicket.
ID-421	neutral	neutral	He quickly grabs a knife from his backpack, unzips six inches of the tent door open.
ID-422	neutral	neutral	We see his eyes peering out.
ID-423	neutral	neutral	The CRACKLING moves closer.
ID-424	neutral	neutral	His grip on the knife tightens.
ID-425	neutral	neutral	Suddenly a hot white light hits his face.
ID-426	neutral	neutral	And a VOICE comes from behind the light.
ID-427	neutral	neutral	FOREST RANGER U.S. Forestry.
ID-428	neutral	positive	Could you step out of the tent please?
ID-429	neutral	neutral	Now we see the FOREST RANGER appear from the thicket.
ID-430	neutral	neutral	Chris exits the tent, catching himself holding the knife.
ID-431	neutral	negative	CHRIS (as he drops the knife to the ground) Sorry.
ID-432	neutral	neutral	I thought you were a bear.
ID-433	neutral	positive	FOREST RANGER (approaching) I don't blame you.
ID-434	neutral	neutral	You're less than a hundred yards from the nearest den.
ID-435	neutral	neutral	That's why I came over here to talk to you.
ID-436	neutral	neutral	Do you have some identification?
ID-437	neutral	neutral	22.
ID-438	neutral	negative	CHRIS No.
ID-439	neutral	negative	I'm sorry.
ID-440	neutral	neutral	My name's Alex.
ID-441	neutral	neutral	I've been travelling a lot and I got robbed and my identification was taken.
ID-442	neutral	neutral	FOREST RANGER You mind if I take a look in your tent?
ID-443	neutral	neutral	CHRIS Go ahead.
ID-444	neutral	neutral	The Forest Ranger bends over.
ID-445	neutral	neutral	Pops his flashlight through the tent door and peers around a bit before re- addressing Chris.
ID-446	neutral	neutral	FOREST RANGER You're not the character who knocked down our sign, are ya?
ID-447	neutral	negative	CHRIS (giggles) No.
ID-448	neutral	neutral	FOREST RANGER Because there was a sign indicating that camping was allowed by permit only.
ID-449	neutral	positive	CHRIS Well, I don't have a permit.
ID-450	neutral	positive	FOREST RANGER No, I'm sure you don't.
ID-451	neutral	positive	Listen, it looks like you've got your food secured pretty good, so I'm not gonna make you move on tonight.
ID-452	neutral	neutral	But, these bears out here are nursing young and you know how that goes.
ID-453	neutral	negative	Next time, stop at the Rangers station and get yourself a permit.
ID-454	neutral	positive	CHRIS Alright.
ID-455	neutral	positive	I appreciate it.
ID-456	neutral	neutral	I'm gonna be headed towards the coast tomorrow.
ID-457	neutral	positive	FOREST RANGER Be careful.
ID-458	neutral	negative	They shake hands and the Forest Ranger disappears into the thicket.
ID-459	neutral	negative	CUT TO:  23.
ID-460	neutral	neutral	33    EXT.
ID-461	neutral	neutral	THE NORTHERN CREST - DAY                              33  Chris descends the mountains where they meet the Redwoods.
ID-462	neutral	positive	Every perilous step creates a mini landslide down the hill
ID-463	neutral	negative	Chris stops briefly to observe an over-flying commercial airliner.
ID-464	neutral	negative	CHRIS (mocking imaginary conversation among passengers) Is that a man mommy?
ID-465	neutral	positive	That's no mere man, sweetheart.
ID-466	neutral	neutral	That's Alexander SuperTramp!
ID-467	neutral	neutral	King of the wild frontier!
ID-468	neutral	neutral	Chris briefly waves to the airplane above and continues his descent.
ID-469	neutral	negative	CUT TO:   34    OMITTED                                                    34   35    EXT.
ID-470	neutral	negative	HIGHWAY NEAR WILLOW CREEK (AUGUST 10, 1990)           35  A car slows to a stop.
ID-471	neutral	neutral	36    INT./EXT.
ID-472	neutral	neutral	CAR-HIGHWAY                                      36  DRIVER This is where I turn off.
ID-473	neutral	positive	CHRIS Alright man.
ID-474	neutral	positive	Thanks a lot.
ID-475	neutral	neutral	Chris is dropped off.
ID-476	neutral	neutral	The driver veers off the highway and into the distance.
ID-477	neutral	neutral	Chris is left behind to hitch another ride.
ID-478	neutral	neutral	36A   EXT.
ID-479	neutral	neutral	HIGHWAY                                              36A  CAMERA is across the road from Chris as one by one cars pass him by.
ID-480	neutral	neutral	He turns to move north by foot and we track with him, his back to oncoming traffic, he continues to hitchhike with an extended thumb.
ID-481	neutral	neutral	Something catches his eye in the treeline beside the road.
ID-482	neutral	neutral	24.
ID-483	neutral	neutral	REVERSE: Chris, moving to the mysterious object.
ID-484	neutral	neutral	As he lifts it, we see that it is a goofy looking straw hat.
ID-485	neutral	negative	He dusts it off, and snugs it onto his head, when a police car comes into frame and stops beside Chris.
ID-486	neutral	neutral	With a quick blast of the siren, Chris turns to regard the police car.
ID-487	neutral	neutral	The POLICEMAN gets out of the car and moves to Chris.
ID-488	neutral	neutral	POLICEMAN How're you doin' this evening?
ID-489	neutral	positive	CHRIS (reluctantly) I'm alright.
ID-490	neutral	positive	What's the matter?
ID-491	neutral	neutral	POLICEMAN You wanna put your backpack down on the hood of my car.
ID-492	neutral	neutral	Chris does not oblige.
ID-493	neutral	neutral	CHRIS Why?
ID-494	neutral	neutral	POLICEMAN Because I asked you to, sir.
ID-495	neutral	positive	CHRIS But I haven't done anything wrong.
ID-496	neutral	neutral	These are my personal items.
ID-497	neutral	neutral	POLICEMAN Do you know that it's unlawful to hitchhike on this stretch of highway.
ID-498	neutral	positive	CHRIS You're kidding.
ID-499	neutral	positive	POLICEMAN Do you see a safe area for a vehicle to stop?
ID-500	neutral	negative	We got a tree-lined highway without a substantial shoulder here.
ID-501	neutral	negative	And we've had a lot of accidents on this road from people stopping in the traffic lane for hitchhikers.
ID-502	neutral	negative	CHRIS Alright, but...I mean, you stopped your car.
ID-503	neutral	neutral	You're in the traffic lane.
ID-504	neutral	neutral	And you can see, there's hardly any cars out here.
ID-505	neutral	positive	Plus, it's a straight road
ID-506	neutral	neutral	(MORE)  25.
ID-507	neutral	negative	CHRIS (CONT'D) (in disbelief) There's really been accidents along here?
ID-508	neutral	neutral	POLICEMAN May I see some identification?
ID-509	neutral	negative	Now Chris is worried.
