ID;GOLD;TEXT
ID-160 ;anger;We TILT DOWN a stack of books sitting on the floor - Tolstoy, Stegner, Thoreau, Jack London, and Pasternak.
ID-161 ;anger;Beside them, a camper's backpack.
ID-162;disgust;Chris sits in introspection at his desk by candlelight.
ID-163;disgust;The room is spare, supporting his monkish lifestyle.
ID-164;disgust;But on the desk before him, he counts out $500.68 from a bank envelope.
ID-165;disgust;He pockets those bills and change, then removes a check for $24,000 made out to OXFAM America from the same bank envelope.
ID-166;disgust;He scribbles a note: These are all my savings.
ID-167;disgust;Feed someone with it.
ID-168;disgust;Signed, Chris McCandless.
ID-169;disgust;He then slides the note and the check into a pre-addressed Oxford Famine Relief Fund (in Boston) envelope.
ID-170;disgust;He pulls his wallet from his back pocket.
ID-171;disgust;Pulls all the cards and pictures from its sleeves.
ID-172;disgust;Considering each, he flicks them into a trash bin, one by one.
ID-173;disgust;Finally coming to his social security card, he holds it to the candles flame.
ID-174;disgust;As the flame burns bright we - DISSOLVE TO:   9   EXT.
ID-175;disgust;ATLANTA HIGHWAY - SUNRISE'                               9  MUSIC (Gordon Peterson's BIG HARD SUN or as radio source Tom Petty's FREE FALLING) rises and PRESENTATION TITLES OVER:  A 1982 DATSUN B210 emerges from the rising sun as the car heads west out of Atlanta.
ID-176;disgust;(HIGHWAY 20 TO 78 TO 40)  PRESENTATION TITLES and MUSIC carry OVER:  9A.
ID-177;disgust;MONTAGE: We travel with Chris and his Datsun through the towns and open highways, landscapes and landmarks, days and nights, that lead to the Mojave desert in the West.
ID-178;disgust;10.
ID-179;disgust;(In contrast to his introspection of the previous night, Chris is buoyant throughout this sequence.)
ID-180;disgust;10   EXT.
ID-181;disgust;DESERT, SOMEWHERE BETWEEN KINGMAN, ARIZONA AND LAS     10 VEGAS, NEVADA - SUNSET  (CRANE SHOT) We see Chris stop the Datsun in the middle of the desert road.
ID-182;disgust;We (CRANE?)
ID-183;disgust;DOWN to a close-up through the windshield.
ID-184;disgust;Chris looks left.
ID-185;disgust;Then, right.
ID-186;disgust;Into the rearview mirror, and suddenly turns the wheel, veering the Datsun off the paved highway into the vast desert.
ID-187;disgust;As we CRANE back UP, the Datsun moves into the horizon.
ID-188;disgust;END PRESENTATION TITLES.
ID-189;disgust;FADE MUSIC   11   EXT.
ID-190;disgust;DETRITAL WASH - TWILIGHT                               11  ANGLE: WEST-FACING  The Datsun sits in the magical pastel twilight just before darkness slides over the desert.
ID-191;disgust;It is positioned at the foot of a wash wall that edges the soup bowl.
ID-192;disgust;ANGLE: EAST-FACING  The Datsun, a yellow speck in the frame.
ID-193;disgust;Coyotes yap at the moon.
ID-375 ;anger;19.
ID-376 ;anger;CARINE (V.O.)
ID-377 ;anger;"When they arrived at the apartment, there was a ""For Rent"" sign in his window, and the manager told my parents that Chris had moved out at the end of June."
ID-378 ;anger;24   EXT.
ID-379 ;anger;OFF-CAMPUS ROOMING HOUSE, ATLANTA - DAY                24  We observe Walt and Billie chatting with Chris' apartment manager.
ID-380 ;anger;CARINE (V.O.)
ID-381 ;anger;When they got home, I had to hand them all the letters they had sent Chris that summer which had been returned in a bundle.
ID-382 ;anger;25   INT.
ID-383 ;anger;"MCCANDLESS HOME, ANNANDALE                             25  The bundle of letters are splayed out on the kitchen table - ""Return to Sender"" stamps visible."
ID-194;disgust;Other than that, no sound on the desert floor.
ID-195;disgust;In the distance, voluptuous cumulonimbus clouds boil upward catching the last rosy glow of the west-setting sun over the rim of the upper Detrital watershed.
ID-196;disgust;We see strobe bursts of lightning followed by muffled thunder illuminating the thunder clouds from within.
ID-197;disgust;Short SERIES OF ANGLES as we MOVE IN on the distant gullies and ravines, starting to run with copious amounts of water.
ID-198;disgust;12   INT.
ID-199;disgust;DATSUN - NIGHT                                         12  Chris McCandless, in the same clothes he had been in back in the rooming house, sleeps in the back seat of the Datsun.
ID-200;disgust;His head supported by his backpack.
ID-201;disgust;We begin to HEAR a rumble.
ID-202;disgust;But this rumble is not thunder.
ID-203;disgust;It rapidly builds into an alarming ROAR.
ID-204;disgust;The roar grows to a deafening level.
ID-205;disgust;Chris awakens.
ID-206;disgust;11.
ID-207;disgust;As he peeks up from the backseat looking forward through the windshield, he just barely catches sight of the leading edge of a flash flood.
ID-208;disgust;A four-foot high wall of water, mud and debris makes impact with the Datsun, momentarily enveloping it in water.
ID-209;disgust;Suddenly the car is SLAMMED against the cliff.
ID-210;disgust;CRACK!
ID-211;disgust;Chris sits upright, disoriented.
ID-212;disgust;POV: As far as the eye can see in the desert moonlight, water has taken over the desert with a flash flood.
ID-213;disgust;However, there's no panic in Chris' face as we observe him past a new crack in the wet windshield.
ID-214;disgust;The water, while violent seems to have topped off just above the wheels.
ID-215;disgust;Chris gets a slight smile on his face, as the car settles into its new position below the cliff.
ID-216;disgust;He returns to sleep.
ID-217;disgust;CUT TO:   13   EXT.
ID-218;disgust;DESERT - DAY                                          13  What remains of Chris' travelling money burns in a pile beside the Datsun on the sun-lit but muddy desert floor.
ID-219;disgust;We follow a very long set of footprints (CAMERA TRACKING/TRUE VERTICAL) away from the burning cash through the mud, finally tilting up to the footprint maker, Chris.
ID-220;disgust;Slogging toward high ground.
ID-221;disgust;WIDE-SHOT: We see the abandoned Datsun nearly a mile behind Chris as he walks toward us wearing his backpack.
ID-222;disgust;He comes very close to camera (only a day or two's stubble on his face) and as we PAN him 180, we see as much wilderness before us as we did behind.
ID-223;disgust;REPRISE MUSIC OVER MAIN TITLE:  (INTO THE WILD) Chris walks into the distance.
ID-224;disgust;COMPLETE AND END MAIN TITLES.
ID-225;disgust;CUT TO:   14   INT.
ID-226;disgust;COLLEGE BUILDING                                      14  SHAKY HAND-HELD HOME VIDEO IMAGE (4 YEARS EARLIER):  12.
ID-227;disgust;Chris McCandless speaking to camera holds a microphone in a shadowy room, doing his Geraldo Rivera.
ID-228;disgust;It's tongue-in- cheek at best.
ID-229;disgust;CHRIS This is Emory University freshman Chris McCandless reporting from the vault at Thompson Hall.
ID-230;disgust;He indicates a hatchway in the floor leading to a brightly lit corridor below.
ID-231;disgust;CHRIS (CONT'D) We have just dynamited the hatchway and are the first human beings to step foot into this vault in over a hundred years.
ID-232;disgust;Somewhere in here lies the secret of the great beast within us all.
ID-233;disgust;A beast built on lies, corruption, and greed.
ID-234;disgust;We HEAR a GROWLING SOUND from behind Chris.
ID-235;disgust;CHRIS (CONT'D) And there it is!
ID-236;disgust;The legendary beast Mocra.
ID-237;disgust;CAMERA quickly PANS to a blanket-wrapped, crawling FELLOW STUDENT in a grotesque Halloween mask.
ID-384;disgust;CARINE (V.O.)
ID-385;disgust;Chris had instructed the post office to hold them until August 1st so that mom and dad wouldn't know that anything was up.
ID-386;disgust;Some part of me understood what he had done.
ID-387;disgust;That he had spent the previous four years fulfilling an absurd and onerous duty in graduating from college.
ID-388;disgust;We return to the image of Carine sitting on her bed as she plops on Chris' old graduation cap.
ID-389;disgust;We slowly ZOOM IN on her throughout the remaining V.O.
ID-390;disgust;CARINE (V.O.)
ID-391;disgust;(CONT'D) And now, at last he was unincumbered.
ID-392;disgust;Emancipated from the stifling world of parents and peers.
ID-393;disgust;Abstraction, security, and material excess.
ID-394;disgust;Those things that cut Chris off from the raw truth of his existence.
ID-395;disgust;I only hoped he was safe...and I missed him.
ID-396;disgust;CUT TO:   26   EXT.
ID-397;disgust;SIERRA NEVADA MOUNTAINS (LAKE TAHOE AREA) - DAY        26  20.
ID-398;disgust;HELICOPTER SHOT: (MUSIC OVER: PHILIP GLASS) WE FIND CHRIS MAKING HIS STRIDES THROUGH PINES AND PEAKS, IN AWE OF THE SCALE AND POWER OF THIS LANDSCAPE.
ID-399;disgust;TRACKING SHOT (GROUND LEVEL): CLOSE ON Chris, surrounded by a summit grove embraced in its nature.
ID-400;disgust;ANGLE: A DEER drinking from a creek, pops its head up between trees and scrub, watching the alien human pass.
ID-401;disgust;An EAGLE soars above (perhaps it was this POV represented in our helicopter shot)  WATER babbling in a mountain creek.
ID-402;disgust;VARIOUS WILDLIFE SHOTS  ANGLE: Chris -   In his eyes we see the landscape inject itself.
ID-403;disgust;CUT TO:   27   EXT.
ID-404;disgust;CAMPSITE, PACIFIC CREST TRAIL - SUNSET                 27  SEQUENCE: Chris makes camp beside a stream pulling a sack of rice from his backpack and cooking it.
ID-405;disgust;28   EXT.
ID-406;disgust;"CAMPSITE, PACIFIC CREST TRAIL - NIGHT                  28  Wrapped in his own ""The Good, The Bad, And The Ugly"" poncho, Chris eats rice while crouched beside a campfire reading from Jack London's White Fang."
ID-407;disgust;CUT TO:  29   EXT.
ID-408;disgust;PACIFIC CREST TRAIL - FURTHER NORTH - DAY              29  Chris is on the move north through the gorgeous landscape of the Sierras, humming as he walks, when he comes upon a sign on the trail: PERMIT CAMPING IN DESIGNATED CAMPGROUNDS ONLY.
ID-409;disgust;Chris bows to the sign as one would to speak to a small child.
ID-410;disgust;CHRIS (singing) Sign, sign.
ID-411;disgust;Everywhere a sign.
ID-412;disgust;Fuckin' up the scenery, breakin' my mind.
ID-413;disgust;(MORE)  21.
ID-414;disgust;CHRIS (CONT'D) Do this.
ID-415;disgust;Don't do that.
ID-416;disgust;Can't you read the sign?
ID-417;disgust;And then, very impulsively, he karate kicks the sign off its post into a log collapsing into ---  CUT TO:   30   OMITTED                                                     30   31   EXT.
ID-418;disgust;CAMPSITE II, PACIFIC CREST TRAIL - NIGHT               31  A burning log collapses in Chris' campfire, reduced to glowing embers.
ID-419;disgust;32   INT.
ID-420;disgust;TENT                                                   32  Chris is awakened by the SOUND of TWIGS SNAPPING in a nearby thicket.
ID-421;disgust;He quickly grabs a knife from his backpack, unzips six inches of the tent door open.
ID-422;disgust;We see his eyes peering out.
ID-423;disgust;The CRACKLING moves closer.
ID-424;disgust;His grip on the knife tightens.
ID-425;disgust;Suddenly a hot white light hits his face.
ID-426;disgust;And a VOICE comes from behind the light.
ID-427;disgust;FOREST RANGER U.S. Forestry.
ID-428;disgust;Could you step out of the tent please?
ID-429;disgust;Now we see the FOREST RANGER appear from the thicket.
ID-430;disgust;Chris exits the tent, catching himself holding the knife.
ID-431;disgust;CHRIS (as he drops the knife to the ground) Sorry.
ID-432;disgust;I thought you were a bear.
ID-433;disgust;FOREST RANGER (approaching) I don't blame you.
ID-434;disgust;You're less than a hundred yards from the nearest den.
ID-435;disgust;That's why I came over here to talk to you.
ID-436;disgust;Do you have some identification?
ID-437;disgust;22.
ID-438;disgust;CHRIS No.
ID-439;disgust;I'm sorry.
ID-440;disgust;My name's Alex.
ID-441;disgust;I've been travelling a lot and I got robbed and my identification was taken.
ID-442;disgust;FOREST RANGER You mind if I take a look in your tent?
ID-443;disgust;CHRIS Go ahead.
ID-444;disgust;The Forest Ranger bends over.
ID-445;disgust;Pops his flashlight through the tent door and peers around a bit before re- addressing Chris.
ID-446;disgust;FOREST RANGER You're not the character who knocked down our sign, are ya?
ID-447;disgust;CHRIS (giggles) No.
ID-448;disgust;FOREST RANGER Because there was a sign indicating that camping was allowed by permit only.
ID-449;disgust;CHRIS Well, I don't have a permit.
ID-450;disgust;FOREST RANGER No, I'm sure you don't.
ID-451;disgust;Listen, it looks like you've got your food secured pretty good, so I'm not gonna make you move on tonight.
ID-452;disgust;But, these bears out here are nursing young and you know how that goes.
ID-453;disgust;Next time, stop at the Rangers station and get yourself a permit.
ID-454;disgust;CHRIS Alright.
ID-455;disgust;I appreciate it.
ID-456;disgust;I'm gonna be headed towards the coast tomorrow.
ID-457;disgust;FOREST RANGER Be careful.
ID-458;disgust;They shake hands and the Forest Ranger disappears into the thicket.
ID-459;disgust;CUT TO:  23.
ID-460;disgust;33    EXT.
ID-461;disgust;THE NORTHERN CREST - DAY                              33  Chris descends the mountains where they meet the Redwoods.
ID-462;disgust;Every perilous step creates a mini landslide down the hill
ID-463;disgust;Chris stops briefly to observe an over-flying commercial airliner.
ID-464;disgust;CHRIS (mocking imaginary conversation among passengers) Is that a man mommy?
ID-465;disgust;That's no mere man, sweetheart.
ID-466;disgust;That's Alexander SuperTramp!
ID-467;disgust;King of the wild frontier!
ID-468;disgust;Chris briefly waves to the airplane above and continues his descent.
ID-469;disgust;CUT TO:   34    OMITTED                                                    34   35    EXT.
ID-470;disgust;HIGHWAY NEAR WILLOW CREEK (AUGUST 10, 1990)           35  A car slows to a stop.
ID-471;disgust;36    INT./EXT.
ID-472;disgust;CAR-HIGHWAY                                      36  DRIVER This is where I turn off.
ID-473;disgust;CHRIS Alright man.
ID-474;disgust;Thanks a lot.
ID-475;disgust;Chris is dropped off.
ID-476;disgust;The driver veers off the highway and into the distance.
ID-477;disgust;Chris is left behind to hitch another ride.
ID-478;disgust;36A   EXT.
ID-479;disgust;HIGHWAY                                              36A  CAMERA is across the road from Chris as one by one cars pass him by.
ID-480;disgust;He turns to move north by foot and we track with him, his back to oncoming traffic, he continues to hitchhike with an extended thumb.
ID-481;disgust;Something catches his eye in the treeline beside the road.
ID-482;disgust;24.
ID-483;disgust;REVERSE: Chris, moving to the mysterious object.
ID-484;disgust;As he lifts it, we see that it is a goofy looking straw hat.
ID-485;disgust;He dusts it off, and snugs it onto his head, when a police car comes into frame and stops beside Chris.
ID-486;disgust;With a quick blast of the siren, Chris turns to regard the police car.
ID-487;disgust;The POLICEMAN gets out of the car and moves to Chris.
ID-488;disgust;POLICEMAN How're you doin' this evening?
ID-489;disgust;CHRIS (reluctantly) I'm alright.
ID-490;disgust;What's the matter?
ID-491;disgust;POLICEMAN You wanna put your backpack down on the hood of my car.
ID-492;disgust;Chris does not oblige.
ID-493;disgust;CHRIS Why?
ID-494;disgust;POLICEMAN Because I asked you to, sir.
ID-495;disgust;CHRIS But I haven't done anything wrong.
ID-496;disgust;These are my personal items.
ID-497;disgust;POLICEMAN Do you know that it's unlawful to hitchhike on this stretch of highway.
ID-498;disgust;CHRIS You're kidding.
ID-499;disgust;POLICEMAN Do you see a safe area for a vehicle to stop?
ID-500;disgust;We got a tree-lined highway without a substantial shoulder here.
ID-501;disgust;And we've had a lot of accidents on this road from people stopping in the traffic lane for hitchhikers.
ID-502;disgust;CHRIS Alright, but...I mean, you stopped your car.
ID-503;disgust;You're in the traffic lane.
ID-504;disgust;And you can see, there's hardly any cars out here.
ID-505;disgust;Plus, it's a straight road
ID-506;disgust;(MORE)  25.
ID-507;disgust;CHRIS (CONT'D) (in disbelief) There's really been accidents along here?
ID-508;disgust;POLICEMAN May I see some identification?
ID-509;disgust;Now Chris is worried.
ID-510;disgust;CHRIS I don't have any.
ID-511;disgust;POLICEMAN You don't have any identification?
ID-512;disgust;"Chris shakes his head ""No."""
ID-513;disgust;POLICEMAN (CONT'D) (pulling out a ticket) Well, I'm gonna site you for unlawful hitchhiking.
ID-514;disgust;You don't have to appear.
ID-515;disgust;You can send a check directly to the Humboldt County Clerks Office for restitution.
ID-516;disgust;If you don't pay it within 30 days, you're subject to fine and warrant.
ID-517;disgust;I'm gonna trust that you're gonna give me accurate information.
ID-518;disgust;What's your name?
ID-519;disgust;Chris can't bring himself to lie.
ID-520;disgust;CHRIS (a beat) McCandless.
ID-521;disgust;Christopher Johnson McCandless.
ID-522;disgust;CUT TO:  37   INT.
ID-524;disgust;A copy of Chris' ticket has been sent to the Annandale address and sits before them.
ID-238 ;fear;We MOVE INTO CU on the monster growling.
ID-239 ;fear;QUICK PAN back to Chris.
ID-240 ;fear;CHRIS (CONT'D) (in mock fright) We've got to get out of here quick and re- secure the hatch while we make a plan of how to kill the beast.
ID-241 ;fear;CAMERA SHAKES all over like a bad horror film trying to stay with Chris as he makes a quick escape down the hatchway into the University dorm corridor.
ID-242 ;fear;CLUMSY VIDEO TIME CUT: Chris nailing the last nail in the hatchway from below.
ID-243 ;fear;He climbs down the steps where he exchanges his hammer for his microphone from an off- camera source.
ID-244 ;fear;CHRIS (CONT'D) Well, it looks like we've succeeded -  We HEAR the monster's GROWL from above.
ID-245 ;fear;13.
ID-246 ;fear;CHRIS (CONT'D) - at least for the moment, in sealing the beast back into the vault.
ID-247 ;fear;Your humble reporter, Chris McCandless will now struggle with the journalistic question of ethics: Will he retain his reporter's objectiveness or save the future of human truth by slaying this awful beast?
ID-248 ;fear;He gives us a look of vaudevillian puzzlement - what will he do?
ID-249 ;fear;CONTINUE VIDEO:  We pick up with Chris in a corridor outside a door with a cheap paper-and-tape label announcing the adjacent room as the office of Ted Turner.
ID-250 ;fear;CHRIS (CONT'D) Once again, your humble reporter Chris McCandless.
ID-251 ;fear;We HEAR OS students commenting on Chris and his video crew:  OS STUDENT What is this?
ID-252 ;fear;Filmmaking 101?
ID-253 ;fear;OS STUDENT #2 Point the camera at me.
ID-254 ;fear;I'm a star.
ID-255 ;fear;Chris speaking straight to camera, still tongue-in-cheek:  CHRIS (with a Wizard of Oz tone) Pay no attention to the voices behind the curtain.
