ID-0;ANNOTATOR 2;TEXT 
ID-115;pos;I's so soothing to know that you'll sue me, this is starting to
ID-116;ntr;sound the same
ID-117;neg;I miss the comfort in being sad
ID-118;ntr;In her false withness, we hope you're still with us, to see if they gloar
ID-119;neg;or drown
ID-120;neg;Our favorite paitent, A display of patience, disease-covered Puget Sound
ID-121;neg;She'll come back as fire, to burn all the liars, and leave a blanket of ash
ID-122;neg;on the ground I muss teh comfort in being sad
ID-123;ntr;She eyes me like a pisces when I am weak
ID-124;neg;I've been locked inside your Heart-Shaped box for weeks
ID-125;ntr;I've been drawn into your magnet tar pit trap
ID-126;pos;I wish I could eat your cancer when you turn black
ID-127;ntr;Hey
ID-128;ntr;Wait
ID-129;neg;I've got a new complaint
ID-130;ntr;Forever in debt to your priceless advice
ID-131;ntr;Meat-eating orchids forgive no one just yet
ID-132;ntr;Cut myself angel's hair and baby's breath
ID-133;ntr;Broken hymen of your highness I'm left black
ID-134;ntr;Throw down your umbilical noose so I can climb right back
ID-135;neg;I am my own parasite
ID-136;ntr;I don't need a host to live
ID-137;pos;We feed off of each other
ID-138;pos;We can share our endorphns
ID-139;ntr;Doll steak, test meat
ID-140;ntr;I won my own pet virus
ID-141;ntr;I get to pet and name her
ID-142;ntr;Her milk is my shit
ID-143;ntr;My shit is her milk
ID-144;ntr;Doll steak, test meat
ID-145;neg;Look on the bright side is suicide
ID-146;ntr;Lost eyesight I'm on your side
ID-147;ntr;Angel left wing, right wing, broken wing
ID-148;neg;Lack of iron and/or sleeping
ID-149;ntr;Protector of the kennel
ID-150;ntr;Ecto-plasma
ID-151;ntr;Ecto-Skeletal
ID-152;ntr;Obituary birthday
ID-153;ntr;Your scent is still here in my place of recovery
ID-154;ntr;Fill me in on your new vision
ID-155;ntr;Wake me up with indecision
ID-156;ntr;Help me trust your mighty wisdom
ID-157;neg;Yes i eat cow - i am not proud
ID-158;ntr;Show me how you question question
ID-159;ntr;Lead the way to my temptation
ID-160;ntr;Take my hand and give it cleaning
ID-161;neg;Yes i eat cow - i am not proud
ID-162;ntr;Is he in his easychair
ID-163;ntr;Poop as hard as a rock
ID-164;neg;I don't like you anyway
ID-165;ntr;Seal it in a box
ID-166;ntr;All new
ID-167;neg;Damn you
ID-168;ntr;This is out of our range [x3]
ID-169;ntr;And it's grown (gross).
ID-170;ntr;This is getting to be [x3]
ID-171;neg;A joke. I'm a negetive creep [x3]
ID-172;neg;And I'm stoned. I'm a negative creep [x3]
ID-173;neg;And I'm ... [scream]
ID-174;ntr;Daddy's little girl ain't a girl no more [x6]
ID-175;ntr;This is getting to be [x3]
ID-176;ntr;And it's grown (gross).
ID-177;ntr;This is out of our range [x3]
ID-178;neg;A joke. I'm a negetive creep [x3]
ID-179;neg;And I'm stoned. I'm a negative creep [x3]
ID-180;neg;And I'm ... [scream]
ID-181;ntr;Daddy's little girl ain't a girl no more [x6]
ID-182;ntr;Yeah...stoned...stoned.
ID-183;ntr;Daddy's little girl ain't a girl no more [x14]
ID-184;ntr;When I'm feeling tired.
ID-185;ntr;She puts food through the door.
ID-186;neg;I crawl towards the cursed light.
ID-187;neg;Sometimes I can't find my way.
ID-188;ntr;Newspapers spin' round.
ID-189;ntr;Soaking all that they can.
ID-190;ntr;The cleaning is too kind.
ID-191;ntr;A good hosing down.
ID-192;pos;The lady whom I feel a maternal love for.
ID-193;neg;Cannot look me in the eyes.
ID-194;ntr;But I see hers and they are blue.
ID-195;neg;And they cock and twist and masturbate.
ID-196;ntr;I say so [x3]
ID-197;pos;Nirvana [x6]
ID-198;ntr;Black windows a problem.
ID-199;neg;I scratch with my nails.
ID-200;ntr;I see others just like me.
ID-201;ntr;Why do they not try to escape.
ID-202;ntr;But we're not the only ones.
ID-203;ntr;They point in my way.
ID-204;ntr;They come with the flashing lights.
ID-205;neg;And take my famliy away.
ID-206;ntr;And very later I have learned to accept some friends of ridicule.
ID-207;neg;My whole existence is for your amusement.
ID-208;ntr;And thatis why I'm here with you.
ID-209;neg;Don't take me away. I've found.
ID-210;pos;Nirvana [x8]
ID-211;pos;I'm on my time with everyone
ID-212;neg;I have very bad posture
ID-213;ntr;Sit and drink Pennyroyal Tea
ID-214;neg;Distill the life that's inside of me
ID-215;ntr;Sit and drink Pennyroyal Tea
ID-216;ntr;I'm anemic royalty
ID-217;neg;Give me a Leonard Cohen afterworld
ID-218;neg;So I can sigh eternally
ID-219;neg;I'm so tired I can't sleep
ID-220;neg;I'm a liar and a thief
ID-221;ntr;Sit and drink Pennyroyal Tea
ID-222;ntr;I'm anemic royalty
ID-223;ntr;I'm on warm milk and laxatives
ID-224;ntr;Cherry-flavored antacids
ID-225;ntr;Sit and drink Pennyroyal Tea
ID-226;neg;Distill the life that's inside of me
ID-227;neg;Sit and drink Pennyroyal Tea
ID-228;ntr;I'm anemic royalty
ID-229;ntr;Use just once and destroy
ID-230;neg;Invasion of our piracy
ID-231;neg;Afterbirth of a nation
ID-232;neg;Starve without your skeleton key
ID-233;pos;I love you for what I am not
ID-234;neg;I do not want what I have got
ID-235;neg;A blanket acne'ed with ciggarette burns
ID-236;ntr;Speak at once while taking turns
ID-237;neg;Second-rate third defree burns
ID-238;neg;What is wrong with me
ID-239;ntr;What is what I need
ID-240;ntr;What do I think I think
ID-241;ntr;This had nothing to do with what you think
ID-242;ntr;If you ever think at all
ID-243;ntr;Bi-polar opposites attract
ID-244;ntr;All of a sudden my water broke
ID-245;neg;hate, hate your enemies
ID-246;ntr;Save, save your friends
ID-247;ntr;Find, find your place
ID-248;ntr;Speak, speak the truth
ID-249;neg;Rape me,
ID-250;neg;Rape me, my friend
ID-251;neg;Rape me,
ID-252;neg;Rape me again
ID-253;ntr;I'm not the only one [x4]
ID-254;neg;Hate me,
ID-255;neg;Do it and do it again
ID-256;neg;Waste me
ID-257;neg;Rape me, my friend
ID-258;ntr;I'm not the only one [x4]
ID-259;ntr;My favorite inside source
ID-260;ntr;I'll kiss your open sores
ID-261;ntr;Appreciate your concern
ID-262;neg;You'll always stink and burn
ID-263;neg;Rape me,
ID-264;neg;Rape me, my friend
ID-265;neg;Rape me,
ID-266;neg;Rape me again
ID-267;neg;I'm not the only one [x4]
ID-268;neg;Rape me..............
ID-269;ntr;Like most babies smell like butter
ID-270;neg;his smell smelled like no other
ID-271;neg;he was born scentless and senseless
ID-272;neg;he was born a scentless apprentice
ID-273;neg;Go away - get away, get away, get a-way
ID-274;neg;every wet nurse refused to feed him
ID-275;ntr;electrolytes smell like semen
ID-276;ntr;I promise not to sell your perfumed secrets
ID-277;ntr;there are countless formulas for pressing flowers
ID-278;ntr;I lie in the soll and fertilize mushrooms
ID-279;ntr;Leaking out gas fumes are made into perfume
ID-280;ntr;You can't fire me because I quit
ID-281;neg;Throw me in the fire and I won't throw a fit
ID-282;neg;Won't you believe it. It's Just my luck. [x4]
ID-283;neg;No recess. [x3]
ID-284;ntr;You're in high school again. [x7]
ID-285;neg;You're nothing again.
ID-286;neg;No recess. [x7]
ID-287;pos;In my eyes, I'm not lazy. In my face, it's not over.
ID-288;ntr;In your room, I'm not older. In your eyes, I'm not worth it.
ID-289;neg;Give me back my alcohol. [x6]
ID-290;neg;Give me back my ..., give me back my..., give me back!
ID-291;ntr;Give me all your ... [x6]
ID-292;ntr;Give me all your ... [x5]
ID-293;neg;Give me back ... aaaaah! ... love!
ID-294;ntr;Give me all your ... [x5]
ID-295;ntr;Give me your ... aaaaah! ...fuck!
ID-296;pos;Teenage angst has paid off well
ID-297;neg;Now I'm bored and old
ID-298;ntr;Self-Appointed judges judge
ID-299;ntr;More than they have sold
ID-300;pos;Teenage angst has paid off well
ID-301;neg;Now I'm bored and old
ID-302;ntr;Self-Appointed judges judge
ID-303;ntr;More than they have sold
ID-304;neg;Serve the servants - Oh no
ID-305;neg;That legendary divorce is such a bore
ID-306;neg;As my bones grew they did hurt
ID-307;neg;They hurt really bad
ID-308;neg;I tried hard to have a father
ID-309;neg;But instead I had a dad
ID-310;ntr;I just want you to know that I
ID-311;pos;Don't hate you anymore
ID-312;ntr;there is nothing I could say
ID-313;ntr;that I haven't thought before
ID-314;neg;Serve the servants - oh no
ID-315;neg;That legendary divorce is such a bore
ID-316;neg;Afraid to grade
ID-317;pos;Wouldn't it be fun
ID-318;ntr;Cross says floss
ID-319;ntr;Wet your bed
ID-320;neg;Sun felt numb
ID-321;ntr;Your eyes
ID-322;ntr;Teacher said
ID-323;ntr;The Preacher said
ID-324;neg;Don't have nothing for you
ID-325;ntr;Spell the smell
ID-326;ntr;Search for a church
ID-327;ntr;Wet your bed
ID-328;ntr;Colt ain't cold
ID-329;pos;They lead a lifetime that is comfortable
ID-330;ntr;They travel far to keep their stomach full
ID-331;ntr;They make their living off of arts and crafts
ID-332;ntr;The kind with seashells, driftwoord and burlap
ID-333;ntr;They make a deal when they come to town
ID-334;pos;The Sunday swap meet is a battle ground
ID-335;pos;She loves him more than he will ever know
ID-336;pos;He loves her more than he will ever show
ID-337;ntr;Keeps his cigarettes close to his heart
ID-338;ntr;Keeps her photographs close to her heart
ID-339;ntr;Keeps the bitterness close to the heart
ID-340;ntr;"...""Moderate Rock""..."
ID-341;ntr;May day, everyday, is my day!
ID-342;neg;Could've had a heart attack, my heart!
ID-343;ntr;He don't know heads or tails, my heart!
ID-344;ntr;We all want something fair, my heart!
ID-345;ntr;Hey!... Hey!... Heeey! Hey! Heeeey!
ID-346;ntr;Out of town, out of fire, is my eyes!
ID-347;ntr;He don't know heads or tails, my heart!
ID-348;ntr;One more at the phone, my eyes!
ID-349;ntr;One more, at the phone, my heart! Hey!...Hey!... Heeeeey!
ID-350;neg;Mean heart!
ID-351;neg;Cold heart! [x7]...
ID-352;ntr;Hey......
ID-353;neg;I am buried up to my neck in
ID-354;neg;Contradictionary lies
ID-355;pos;I take pride as the kind of illiterature
ID-356;pos;I'm very ape and very nice
ID-357;ntr;If you ever need anything please don't hesitate
ID-358;ntr;to ask someone else first
ID-359;ntr;I'm too busy acting like I'm not naive.
ID-360;ntr;I've seen it all I was here first
ID-361;ntr;Out of the ground
ID-362;ntr;Into the sky
ID-363;ntr;Out of the sky
ID-364;ntr;Into he firt
